Household_Size,Seasonal_Index,Garden_Area,Daily_Liters_Used
5,1.28,19,538.6
6,1.64,28,680.8
1,1.01,8,223.2
4,1.77,16,536.4
7,1.51,41,801.2
1,1.0,41,362.0
5,1.54,47,724.8
4,1.33,10,466.6
5,1.51,43,695.2
3,1.57,28,500.4
4,0.89,15,432.8
3,1.31,17,435.20000000000005
1,1.73,38,440.6
1,1.12,29,322.4
4,1.39,11,432.79999999999995
4,1.17,8,444.4
6,1.25,12,576.0
5,1.35,24,556.0
6,1.35,33,694.0
5,1.0,49,679.0
6,1.48,14,617.6
3,0.89,47,544.8
4,0.94,38,571.8
1,0.8,30,322.0
5,0.92,45,618.4
5,1.27,7,512.4
1,1.41,10,287.2
6,1.59,9,589.8
5,0.91,9,443.2
7,1.65,27,724.0
3,1.55,13,439.0
4,1.21,39,555.2
1,1.73,24,373.6
4,1.79,46,712.8
7,1.01,39,730.2
5,1.18,22,577.6
5,1.73,21,609.6
7,1.52,28,713.4
1,0.85,7,201.0
3,1.58,36,555.6
2,1.63,39,484.6
1,1.55,42,426.0
2,1.6,17,406.0
7,1.63,29,741.6
6,0.99,13,568.8
2,1.04,8,289.8
3,1.43,18,455.6
6,1.71,41,762.2
2,1.12,38,460.4
7,1.39,15,661.8
6,1.48,45,742.6
7,1.25,7,584.0
2,1.51,32,433.2
7,1.7,33,812.0
3,1.42,13,398.4
2,1.34,7,300.8
2,1.24,29,392.8
2,1.38,38,473.6
1,1.16,16,258.2
1,1.19,46,413.79999999999995
1,1.33,13,283.6
3,0.87,19,389.4
6,1.03,44,673.6
7,1.34,29,699.8
5,1.23,9,481.6
2,1.13,15,307.6
7,1.53,38,805.6
2,1.49,28,419.8
3,0.97,19,361.4
2,1.68,42,557.6
1,1.3,12,299.0
5,1.54,9,518.8
4,1.37,30,551.4
2,1.8,22,472.0
7,1.55,10,668.0
1,1.51,41,452.2
4,1.58,17,530.6
5,0.94,32,578.8
4,1.0,9,386.0
1,1.51,17,332.2
6,1.29,21,637.8
6,1.55,44,784.0
4,0.9,49,618.0
3,1.34,36,533.8
7,1.18,33,751.6
7,1.26,7,603.2
4,1.4,44,644.0
2,1.3,38,450.0
2,1.34,44,475.8
7,1.29,31,742.8
7,1.21,17,678.2
6,1.57,49,782.4
3,0.81,37,481.2
1,1.4,10,261.0
2,1.37,28,395.4
7,1.52,23,695.4
6,1.4,20,634.0
5,1.63,44,704.6
6,1.76,32,726.2
2,1.14,37,439.79999999999995
2,1.03,45,438.6
6,1.22,17,615.4
1,1.09,47,429.8
4,1.41,49,629.2
2,1.71,29,476.2
6,0.94,46,724.8
